name,location,about,email,phone
Gilmour Space Technologies,"Brisbane QLD, Australia","We are a rocket company focused on small satellite delivery to LEO, and eventually exploration beyond LEO. Our focus is step by step milestone achievements with highly focused short term goals, and long term plans guiding us.  We believe great things can be done with small teams.  We are based in Brisbane and Singapore.  We work closely with a number of universities in Australia and Singapore. ",info@gspacetech.com,61755492370
GMV,"Tres Cantos, Madrid, Spain","GMV (www.gmv.com)is a privately owned technological enterprise group with an international presence employing more than 1.500 staff. Founded in 1984, GMV mainly operates in eight large sectors for both public and private organizations: Aeronautics, Space, Defense, Health, Security, Transportation, Telecommunications and Information Technologies.

GMV currently runs 8 work centers in Spain and offices in France, Germany, India, Malaysia, Poland, Portugal, Romania, USA, Colombia and United Kingdom.

We recruit and hire excellent engineers, and encourage innovation, technical excellence and continuing education. Our engineers regularly present papers at technical conferences, continue their education (more than 85% have a master’s degree), and we re-invest more than 12% of budget in IR&D projects. This striving for excellence, innovation and flexibility is a major part of our culture. We provide very competitive compensation, attractive benefits, and a great work environment with lots of opportunities for professional growth.

 
",jobs@gmv.com,+34918072100
AKKA Technologies,"Riesstraße 14, 80992 München, Germany","As a consulting and engineering Group and European leader in the mobility segment, AKKA Technologies operates in 20 countries through 21 centers of excellence. Our goal is to offer you the best in service and expertise.

Driven by innovation and a passion for technologies, AKKA Technologies combines an entrepreneurial spirit with a visionary strategy. Our strength is that we understand the challenges our clients face. We assist them throughout the product development process, no matter how complex their visions are. Our remarkable positioning with our in-house research center AKKA Research and our unique Franco-German axis qualifies us to be a leader on the global market.

For over 25 years, AKKA Technologies has supported its space clients with a global offer that encompasses the entire space sector through a multi-skilled expertise within a single company. This space engineering services can be offered through technical assistance or work packages, thanks to our European network of local agencies.",kontakt@akka.eu,+49 89 4805808 - 0
Deimos Imaging,Spain,"Deimos Imaging, a subsidiary of UrtheCast Corp. (Canada), is a private Spanish company headquartered in Tres Cantos (Madrid) and with satellite control and processing facilities in Boecillo (Valladolid) and Puertollano (Ciudad Real).
Deimos Imaging, one of the world leading satellite imagery provider, owns and operates the DEIMOS-1 and DEIMOS-2 satellites. 
",cv@deimos-imaging.com,
Astrobotic Technology Inc.,"Pittsburgh, PA, USA","Astrobotic Technology Inc. is a lunar logistics company that delivers payloads to the Moon for companies, governments, universities, non-profits, and individuals. The company’s spacecraft accommodates multiple customer payloads on a single flight, offering flexibility at an industry-defining low price of $1.2 million per kilogram. Astrobotic is an official partner with NASA through the Lunar CATALYST program, has 23 prior and ongoing NASA contracts, a commercial partnership with Airbus DS, a corporate sponsorship with DHL, 11 deals for its first mission to the Moon, and 110 customer payloads in the pipeline for upcoming missions.  Astrobotic was founded in 2007 and is headquartered in Pittsburgh, PA.",contact@astrobotic.com,412-682-3282
Vector,"824 E 16th St, Tucson, AZ 85719, USA",Vector is a disruptive innovator that connects space startups and innovators with affordable and reliable space access. Vector has a BIG vision to reshape the multi-billion launch market and combines dedicated low-cost micro satellites launch (Vector Launch) AND software defined satellites (Galactic Sky) to dramatically increase access and speed to orbit.,info@vector-launch.com,888-346-7778
QinetiQ Space,"Kruibeke, Belgium","QinetiQ is a company of scientists and engineers committed to listening, understanding and responding to our customers' needs. This enables us to use our depth of experience and our unique science and engineering expertise to equip them with powerful solutions to their most pressing challenges.

As the space industry continues to grow rapidly there are huge opportunities for our customers, particularly for critical infrastructure and national security. We are one of Europe's leading space system integrators, demonstrating applications that have never been implemented before. We build, launch and operate complex space infrastructure and our technical expertise and unique technologies enable us to deliver flexible and customised solutions, ensuring our customers' future advantage.

6,000+ knowledgeable workers - Our scientists, engineers, technicians & business people come from a remarkable range of disciplines. We are an independent provider of impartial technology-based advice, test and evaluation with global revenues, in the year to 31 March 2017, of £783.1m. With major facilities at Farnborough, Boscombe Down, Malvern, Portsdown and Haslar, we are one of the UK’s largest research and technology organisations. As a key supplier to the Ministry of Defence, we’re working on over 1,000 defence contracts at any one time. We hold more than 1,500 granted patents and have 1,000 patents pending.",,
DLR GfR mbH,"Oberpfaffenhofen, 82234 Weßling, Germany",We’re the DLR Space Applications Institute mbH – the DLR GfR for short. <br />,recruiting@dlr-gfr.de,
Atlas Space Operations,"Traverse City, MI, USA","The ATLAS network provides affordable cloud based solutions for space access in the rapidly growing global space market. Our network utilizes both ATLAS owned and cooperative antennas to provide our users S, X, and UHF band coverage and to command, control, receive telemetry and data from spacecraft. Built around the ATLAS Freedom software platform, our team has developed a proprietary way to cut costs, and efficiently schedule all of our customers.",info@atlasground.com,877.392.8527
ispace EUROPE S.A.,"Luxembourg City, Luxembourg","ispace is a private lunar exploration company whose vision is to expand and sustain humanity’s presence in space by utilizing resources available on the Moon. ispace was a Google Lunar XPRIZE finalist and its 4kg SORATO rover won the XPRIZE mobility milestone award. In addition to rovers, ispace is developing lunar landers with two missions already scheduled for launch in 2022 and 2023.",info@ispace-inc.com,
Infostellar,"Tokyo, Japan","Infostellar is a space communications infrastructure firm, developing the world’s only cloud-based satellite antenna sharing platform: StellarStation. By lowering costs and increasing transmission time, Infostellar empowers satellite operators to improve the quality of their service and expand potential business. Founded in 2016, Infostellar is headquartered in Tokyo, Japan.",info@istellar.jp,
CALLISTO,"12 Avenue de Bordé Blanche, 31290 Villefranche-de-Lauragais, France","Callisto's main office is located near Toulouse, France where we have laboratories equipped with radiofrequency instruments and cryogenic test facilities. Callisto also has engineers working in Germany, Italy and UK.",admin@callisto-space.com,05 61 800 807
SkyWatch,"Waterloo, ON, Canada","SkyWatch is on a mission to make satellite data accessible to the world. Every day, trillions of pixels are captured by satellites orbiting our planet. With new applications for this data being discovered every week, the demand for this imagery is increasing across many industries. However, the current process for purchasing satellite imagery is tedious and time-consuming. We experienced this problem first hand and, after weeks of trying to find the right data, we decided to come up with our own solution.

Utilizing our past experience in building NASA-award winning software (called Supernova), our team is developing SkyWatch EarthCache™. We believe that providing a singular point to discover and access the world’s remote sensing datasets will bring amazing change to geospatial analytics. This mission isn’t about us. It’s about you. We want to make it easy for you to monitor the progress of crops, predict the markets, track ship and airplanes, measure global warming, or create other game-changing applications. Our goal is to be the leading provider of data and intelligence from space.",dexter@skywatch.co,
Neptec Design Group Ltd.,"Kanata, Ottawa, ON, Canada","Neptec Design Group produces electro-optical and electro-mechanical systems for mission critical space applications. We are a world class supplier of high performance intelligent LIDAR and an innovator in the world of vision systems. In our nearly thirty year history, Neptec has contributed critical systems to some of the most demanding space exploration missions and built a reputation for making things work in challenging environments. Neptec Design Group has operations in Canada, the USA and the UK and is ISO 9001 certified",careers@neptec.com,613-599-7602
GomSpace,"Langagervej 6, 9220 Aalborg Øst, Denmark","GomSpace is a globally leading designer, integrator and manufacturer of high-end nanosatellites for customers in the academic, government and commercial markets. Our positions of strength include systems integration, nanosatellite subsystems and advanced miniaturised radio technology. Our international team is devoted to understanding our customers' requirements and deliver flawlessly. We are listed in Stockholm (GOMX), headquartered in Denmark and we service our customers in more than 50 countries. ",info@gomspace.com,
Spire,"San Francisco, Boulder, Glasgow, Singapore, Luxembourg","Spire is a satellite-powered data company that tackles the world’s most unpredictable business challenges with truly global data solutions. By providing unique data from any point on Earth, every hour, Spire offers a competitive advantage for organizations that require insight into areas such as global trade, weather, shipping and supply chain, illegal fishing, and maritime domain awareness.
",,
Sky and Space Global,"London, UK","Sky and Space Global (UK) Ltd - Our mission is to provide affordable voice, data, and instant messaging services - 
To Anyone, Anywhere, Anytime.
Company Number 9887327",Roee@Skyandspace.global,442031502789
PLD Space,"Elche, Alicante, Spain",PLD Space is the European rocket company developing a family of reusable microlaunchers to provide suborbital and orbital launch services to small satellites and payloads.,career@pldspace.com,0034965063139
Loft Orbital,"San Francisco, CA, USA","Loft Orbital offers an innovative space leasing service, enabling greater access to low earth orbit. We are a diverse, international and fast growing team based in San Francisco. In 2017, we raised a $3.2M from leading Silicon Valley investors and strategic partners; now we are rapidly building the team to support our vision of making space simple! ",alex@loftorbital.com,410-382-5050
University of Luxembourg,"Belval, Esch-sur-Alzette, Luxembourg",We are running the Space Resources Master Program at the heart of the strategy of Luxembourg to position itself competitively in the space industry. ,Ross.horne@uni.lu,+352661923966
European GNSS Agency,"Prague, Czechia","Space is the new technological revolution and it is changing the way we live, work  and play. GSA’s core mission is to ensure that European Citizens get the most out of Europe’s satellite navigation programmes<br />",jobs@gsa.europa.eu,
HCCR K.K.,Japan,<b>HCCR is a Tokyo-based boutique executive search firm that specializes in critical talent acquisition for drone and VTOL companies.</b><br /><br /><br />,,
ICEYE,"Espoo, Finland","We are a Finnish based international New Space company with employees from roughly 40 countries and subsidiaries in the US, UK and Poland. Our team is a tight-knit group of experts from a range of areas including engineering, software development, and radar technology. We’re innovative, driven, and strive for excellence in everything we do. We don’t listen to people who say it can’t be done: we go and do it!<br /><br /><br />",,
AstroAgency,United Kingdom,,,
Stellar Amenities,"Los Angeles, 91401, USA",,,
Bradford Deep Space Industries,Luxembourg / United States,"Deep Space Industries, now part of the Bradford Space group, is pioneering the development of technologies to enable lower-cost missions throughout the inner Solar System. ",,
MethaneSAT LLC,"301 Congress Ave #1300, Austin, 78701, USA","MethaneSAT, LLC, an affiliate of Environmental Defense Fund (EDF) is launching a new, high performance, purpose-built satellite--MethaneSAT--to map and measure oil and gas methane emissions worldwide, with the potential to assess emissions from the full range of man-made sources. The satellite will enable us to gather methane emissions data on a global scale and with data from other sources, locate and quantify these emissions.  Data from MethaneSAT will help EDF reduce methane emissions by 45% by 2025 and holds the potential to help reduce the temperature of our planet by as much 0.5 degrees C by the end of the century.  This could be the most impactful environmental project yet conceived.<br /><br /><br />",,
GAF AG,"Arnulfstraße 199, Munich, 80634, Germany","<b>GAF AG</b> is a global company with leading expertise in the development of geo-information products and services. Since its founding in 1985, the company has developed a broad geoscience portfolio. With more than 200 highly qualified employees we offer geo-data, data processing, geographic information systems, database applications, software development, consulting and project management as well as development assistance.<br />Besides our home markets in Germany and Europe, <b>GAF</b> is internationally active - having an impressive track record of more than 1000 projects in 100 countries worldwide. <b>GAF</b> works for industry and private sector, for international institutions and development banks, national authorities and clients. <b>GAF</b> is headquartered in Munich, Germany with a branch in Neustrelitz (North of Berlin). <br />",,
The University of Auckland,"Auckland, 1010, 49 Symonds St","The University of Auckland is New Zealand’s highest-ranked, research-intensive and comprehensive university. Recognised as one of the world’s leading entrepreneurial universities and with an established innovation and entrepreneurial ecosystem, the University is committed to growing its capabilities and impact and continuing to attract high performing and motivated students across all disciplines. Our standing as New Zealand's leading tertiary institution is the result of our people. With 6,000 staff and 42,000 students, the University of Auckland is a large and complex organisation, with an absolute commitment to academic excellence.<br />The Faculty of Engineering’s undergraduate and postgraduate student numbers continues to grow with our The multi-disciplinary Newmarket Campus opened in 2015 and our purpose-built Engineering building which was opened earlier this year help our academics and students to pave the way for innovation and research excellence across many of our engineering disciplines.<br />Te Pūnaha Ātea/<a href=""https://space.auckland.ac.nz/"">The Auckland Space Institute</a> is a multidisciplinary centre of expertise covering a variety of topics ranging from spacecraft engineering to astrophysics, to remote sensing and applications of space technologies. Our work will include research and development working with industry, academia and other institutions, with the aim to grow the local space sector, as well as run educational activities at undergraduate, post-graduate and post-doctoral levels. We are now seeking an experienced specialist in mission operations.<br /><br /><br />",,
DLR - German Aerospace Center,"Cologne, Germany (headquarters)","<b>The German Aerospace Center (DLR) is the national aeronautics and space research centre of the Federal Republic of Germany. </b>Its extensive research and development work in aeronautics, space, energy, transport, security and digitalisation is integrated into national and international cooperative ventures. In addition to its own research, as Germany’s space agency, DLR has been given responsibility by the federal government for the planning and implementation of the German space programme. DLR is also the umbrella organisation for one of the nation’s largest project management agencies.<br /><br />DLR has approximately 8900 employees at 27 locations in Germany: Cologne (headquarters), Augsburg, Berlin, Bonn, Braunschweig, Bremen, Bremerhaven, Cochstedt, Cottbus, Dresden, Goettingen, Hamburg, Hanover, Jena, Juelich, Lampoldshausen, Neustrelitz, Oberpfaffenhofen, Oldenburg, Rheinbach, Stade, St. Augustin, Stuttgart, Trauen, Ulm, Weilheim and Zittau. DLR also has offices in Brussels, Paris, Tokyo and Washington D.C.<br /><br />DLR’s mission comprises the exploration of Earth and the Solar System and research for protecting the environment. This includes the development of environment-friendly technologies for energy supply and future mobility, as well as for communications and security. DLR’s research portfolio ranges from fundamental research to the development of products for tomorrow. In this way, DLR contributes the scientific and technical expertise that it has acquired to the enhancement of Germany as a location for industry and technology. DLR operates major research facilities for its own projects and as a service for clients and partners. It also fosters the development of the next generation of researchers, provides expert advisory services to government and is a driving force in the regions where its facilities are located.",,
Advanced Computer Systems ACS-D GmbH,"Löwenstrasse 4-8, Offenbach am Main, 63067, Germany","<strong></strong><b>ACS-D</b> is a German subsidiary of the <b>Exprivia </b>international group. With know-how and experience gained over 30 years, Exprivia is currently active in the Banking &amp; Finance, Telco &amp; Media, Energy &amp; Utilities, Public Sector, Manufacturing &amp; Distribution, Healthcare and Aerospace &amp; Defence areas.",acs-d@exprivia.com,
Stealth Startup,"Strasbourg, 67400, France","We are a European space startup, founded by a team of international space experts. Our product is a digital platform that transforms the tools and engineering processes used to manage space missions. This is a first-of-its-kind product, at the crossroad of cloud &amp; software technologies, new space engineering concepts, digital transformation, and innovative commercial and delivery models. We are still operating in stealth mode so details are not public, but we will tell you more, face-to-face, during the interview.<br /><br />We are currently a small team of 10. With funding secured, we now want to scale it up. We are looking for top engineering talents to help us digitalize the space industry. Join us!<br /><br />The company is based in Strasbourg, France, a beautiful and vibrant city that offers an amazing quality of life. Strasbourg is a highly international city at the crossroads of France, Germany, and Switzerland. It offers a rich culture, easy access to nature, wonderful gastronomy, and a fast-growing startup scene.<br />",,
Space Talos LTD,"35 Kingsland Rd, Hackney, London E2 8AA, United Kingdom",,info@spacetalos.co.uk,
Agnikul Cosmos,"IIT Madras, NCCRD, Chennai, 600036, India","Our Vision is to bring ""Space Within Everyone's Reach"" <br />We believe going to space shouldn’t be the hardest part of utilising, living in or working from space. So, we decided to design &amp; build a product that makes the earth-to-space journey as simple, as quick and as affordable as possible. <br />",,
University College London/ Mullard Space Science Laboratory,"Holmbury House, Dorking, RH5 6NT, United Kingdom","The Mullard Space Science Laboratory is located on its own campus in the beautiful Surrey Hills, surrounded by woodland. MSSL is the UK's largest university space research group. Space science is a discipline that demands highly innovative technologies and MSSL has an international reputation for excellence in this area. UCL was one of the first universities in the world to become involved in making scientific observations in space. Since MSSL was established in 1966, we have participated in over 40 satellite missions with the European Space Agency, NASA (US), Japan, Russia, China and India, and flown over 230 rocket experiments. The Department is family friendly and applications would be welcome from applicants seeking part-time opportunities. The Department has recently become an Institute of Physics Juno Practitioner. The aim of Project Juno is to recognise and reward physics departments, schools, institutes and organisations that can demonstrate they have taken action to address gender equality in physics and to encourage better practise for all staff.<br />",office@mssl.ucl.ac.uk,
Absolut System,"2 Rue des Murailles, Seyssinet-Pariset, 38170, France","ABSOLUT SYSTEM SAS has been established beginning 2010 by high skilled <strong>engineers with large experience and expertise in cryogenics</strong>. His objective is to <strong>ensure cryogenic engineering, development, design and commercialization of custom’s design equipment</strong> which can’t be found off the shelf. The long term experience and expertise of <strong>ABSOLUT SYSTEM’s experts makes the cryocooler one of the best example of the core business of the company</strong> with their development, manufacturing and their integration in high sensitivity detection systems, superconducting devices, and intermediate size helium, nitrogen or oxygen liquefiers.<br /><br /><br />",,
S.A.B. Aerospace s.r.o.,"Technická 2935/23, Brno, 61600, Czech Republic",We are a space company and we try to stretch the boundaries.  We are located in the Technology Park in Brno. We have developed and administrative offices in the TechNest building. A few meters away are our own ISO 8 laboratories.<br /><br /><br />,,
VEOWARE SPACE,"Jules Bordet, 13, Brussels, 1140, Belgium",,,
Bitpanda,"Vienna, Austria",,,
Infostellar,"Tokyo, 141-0031, Japan","Infostellar is an innovative SME looking to revolutionise the ground segment, democratising and adding flexibility to the way that operators access their satellites, through our cloud-based platform StellarStation.<br /><br />A Tokyo based start-up, we have spent the last four years building our product and solidifying our base in Japan, whilst simultaneously ensuring that we are also addressing the needs of the industry in Europe, where we established our base in London in 2019, as well as the USA, both of which will continue to be areas of interest to us for the remainder of 2020 and beyond. <br />Our focus in 2020 has been to continue growing our StellarStation platform to reach a wider range of satellite customers as well as to grow the ground stations that are a part of our network, as well as the growth of Infostellar.<br />",,
Officina Stellare,"Via della Tecnica 87/89, Sarcedo, 36030, Italy","Officina Stellare S.p.A. is an Italian SME headquartered in Sarcedo (Vicenza, Italy) and listed on the Alternative Investment Market (AIM) stock list of Borsa Italiana. Officina Stellare is leader in the realization of complex opto-mechanical instrumentation for ground, aerospace and space-based applications. The company can easily be referenced worldwide for its expertise in managing complex engineering projects, delivering complete turn-key custom designed optical systems. Officina Stellare is one of the fewest companies which can back on having the full production life cycle completely <i>in-house</i>. Flexibility, time to application, cost-effectiveness and a smart-thinking attitude of the structure, are at the base of Officina Stellare success. The in-house optical design capabilities and manufacturing facilities allow to execute in-house the full development  for  space and ground-based optical systems up to 1.6 m diameter aperture.<br />",info@officinastellare.com,
Luxembourg Institute of Science and Technology,"5, Avenue des Hauts-Fourneaux, Esch-sur-Alzette, L-4362, Luxembourg","The Luxembourg Institute of Science and Technology (LIST) is a Research and Technology Organization (RTO) active in the fields of materials, environment and IT. By transforming scientific knowledge into technologies, smart data and tools, LIST empowers citizens in their choices, public authorities in their decisions and businesses in their strategies. <br />",jobs@list.lu,
Made In Space Europe,"Luxembourg City, Luxembourg","We are an aerospace firm dedicated to providing industry-wide access to sophisticated, in-space, robotic arm solutions. Our vision for space is one where humans living and working there is commonplace. The technologies we're developing today are critical to humanity one day achieving its spacefaring dreams.",admin@madeinspaceeurope.com,
Thales Alenia Space UK,United Kingdom,,,
LIST,Luxembourg,,,
ONERA,"2 Avenue Edouard Belin, Toulouse, 31055, France","<p><b><span lang=""EN-US"" style=""font-size: 10.0pt;"">Office national d’études et de recherches aérospatiales (ONERA)</span></b><span lang=""EN-US"" style=""font-size: 10.0pt;""> is the French national aerospace researchcenter. It is a public research establishment, with 8 major facilities inFrance and about 2,000 employees, incl. 1,500 scientists, engineers &amp;technicians.</span><br/></p>",,
University College London,"London, United Kingdom",,,
adksmksamd aksmdksamda kmskad,"kdmksad askdmksa sd aksmdk, Krakow, 31-340, Sri-Lanka",,,
LiveEO,"Berlin, Germany","Everybody at LiveEO is passionate about the possibilities that arise from New-Space technologies. We strongly believe that this will completely change how we view and understand our planet.

We are a bunch of open-minded, multicultural space enthusiasts that are want to work on something that makes us happy to go to work everyday. If you feel the same way, come and talk to us!",stefan@live-eo.com,00491717511774
ODYSSEUS Space,Luxembourg,"Since 2016, ODYSSEUS Space aims at <strong>increasing the flow of goods and information in the Solar System</strong>. For this purpose, the company is developing essentials cost-effective technologies such as <strong>autonomous navigation</strong> and <strong>laser communication</strong> adapted to small satellites. <br /><br />",hr@odysseus.space,
Berlin Space Technologies,"Max-Planck-Straße 3, Berlin, 12489, Germany",,,
Kepler Communications,"Toronto, ON, Canada","At Kepler, we are building the internet in space. But ultimately, the people that make up our team are hobbyists, we are inquisitive, we tinker, we look at how the world is and question how we can make it better. We believe in providing the autonomy and resources to ensure complete product ownership from inception to execution. We believe in maintaining an environment of open communications, with no egos across all roles. And most importantly, we believe in unrelenting improvement. At Kepler, every day brings new challenges, new skills to learn. This is an environment where better always trumps good enough.",smuir@kepler.space,4375375371 x208
Vitrociset Belgium,"Rue Devant les Hêtres 2, 6890 Transinne (Belgique)","More than 30 years of experience in the field of Space Operations Service &amp; Engineering activities, providing a significant contributions to most major Space programmes of the European Space Agency. We work on the ground to build bridges into space, contributing to the success of ambitious missions.
",jobs@vitrocisetbelgium.com,
Progressive Systems,"Via Enrico Fermi, 62, 00044 Frascati RM, Italy","Progressive Systems delivers IT and Consulting services to support Research, Innovation and Projects for Earth Observation﻿ and Environmental Monitoring and Management, as well as Communication and Outreach services to support public access to scientific knowledge and culture.
We aim at delivering excellence in these areas to provide our customers with optimal solutions for their business objectives. 
Our customers benefit from our capacity for understanding their objectives, and for designing, implementing and managing proper processes to achieve such objectives. Our customers benefit as well from our capacity for bridging and for promoting sustainable innovation, and from our competitive solutions. ",careers@progressivesystems.it,+39-06-94801959
Micro IT,"London, UK","Founded in 2013, we have fast become one of the UK’s leading recruitment agencies, specialising in IT and Digital Recruitment. Our partners range from FTSE 100 clients to the most exciting and innovative international businesses on the planet. We are very careful about the candidates we select and the clients we match them with. We research all of our projects rigorously, carefully matching the right candidate to the right client. Our aim is to offer the finest partnerships going, whether that’s permanent, contract, specialist or freelance.",info@microitglobal.co.uk,+44 020 7205 2284
Delta System Solutions GmbH,"Munich & Berlin, Germany","We are independent aviation systems, safety & reliability specialists. 
Our smart S&R engineering approach ensures innovative products can be certified efficiently (no over-design, no over-testing, no over-maintenance). ",apply@delta-system-solutions.com,
Audacy,"Mountain View, CA, USA","Audacy’s provides always-on / real-time space communications - from launch pad to lunar distance - using a 3 satellite constellation in Medium Earth Orbit, and initially 2 operations centers in San Francisco and Singapore.",info@audacy.space,
Spaceflight,"Seattle, WA, USA","Spaceflight is a premier launch services and mission management provider, offering routine, cost-effective access to space so you can innovate and benefit from a celestial perspective and explore beyond our planet. ",info@spaceflight.com,866.342.9934
Lilium,"Munich, Germany","The group shares the vision of a completely new type of individual transportation and is dedicated to develop and build the world’s first fully electric vertical take-off and landing (VTOL) jet. An estimated range of up to 300 km and a top speed of 300 km/h, along with zero emissions make it the most efficient and eco-friendly individual means of transportation of our time. By providing ultra-redundancy, the Lilium Jet will also set new standards in safety.",,
Mynaric USA,United States,"Mynaric USA is the North American leader in delivering laser communication technologies that seamlessly connect people, governments and businesses. ​ ",career@mynaricusa.com,256-429-9698
OQ TECHNOLOGY,"Luxembourg City, Luxembourg","OQ TECHNOLOGY aims to disrupt the satellite telecommunication industry and provides the world’s first universal plug & play ""Internet-of-Things"" device that can provide connectivity anywhere. We are building a global satellite constellation dedicated for ""Internet-of-Things"" communication.
We serve the Oil & Gas, Maritime, Industry 4.0, and Transport segments particularly for the management and tracking of assets in remote areas. Whether this is digital oilfield applications, offshore monitoring, SCADA applications, asset tracking, fleet management, smart metering or predictive maintenance: We provide you innovative low cost connectivity solution and high value data analytics.
Our wireless technology (developed in collaboration with Luxembourg government and the European Space Agency) is compatible with existing wireless technologies. The modules are plug & play, easy to install, have long battery life, and connect you directly to our or your data cloud.",contact@oqtec.space,+352 20600935
Telespazio Germany GmbH,"Europaplatz 5, Darmstadt, Germany","Telespazio Germany is the first choice aerospace company for IT and engineering solutions and services. With more than 350 employees in Germany we shape the future of aerospace together – and beyond. Our staff play a key role in determining our success through their qualifications, motivation, enthusiasm, different cultural backgrounds and their sense of teamwork. We share our clients' passion for high-technology in the Aerospace domain. We actively pursue transferring this technology to new markets. Every day we face new challenges and, as a result, we evolve. Our trusting work environment, multicultural understanding and fundamental technical expertise form the basis our company culture. Telespazio VEGA Deutschland GmbH is a subsidiary of Telespazio S.p.A. (a Leonardo/ Thales company) which, with its network of 4 space centres, 25 operating sites and 2500 employees around the globe, is one of the world’s leading suppliers of satellite services.  Telespazio is a joint venture between Leonardo (67%) and Thales (33%) and is headquartered in Rome, Italy. Telespazio is a world leader in Geoinformation Services, Satellite Systems &amp; Operations and Satellite Communications and operated worldwide through several subsidiaries.",recruitment@telespazio.de,+49 (0)6151–8257-0
SpaceKnow Inc.,"Prague, Czechia","Founded in 2013, SpaceKnow, Inc. is an aerospace, Silicon Valley, venture capital-backed startup. SpaceKnow works by bringing transparency to the global economy by tracking global economic trends from space through their Analytics-as-a-Service products. The company develops these products for monitoring economic activity for a wide variety of both consumer and enterprise clients.",,
