price,created_at,delivery_status
10.37,1621401739817,1
123.78,1628345431637,1
128.14,1627367003480,3
43.22,1628493507938,3
167.73,1624084570133,2
16.5,1626861709889,3
148.9,1623515493145,2
121.28,1631221996017,2
18.74,1628209222976,1
12.29,1630538812128,3
72.55,1621522791922,2
115.51,1621577519930,3
291.54,1622584434843,2
107.2,1623763595741,3
0.11,1628976835423,3
130.87,1631341004954,2
132.6,1627022351007,2
62.0,1633726483376,3
33.93,1629844182137,3
95.9,1621783190851,3
223.79,1623695874110,3
157.85,1630356861427,1
9.12,1626663688246,3
95.81,1628980385922,3
108.14,1631965074331,1
30.6,1624120624368,3
92.0,1629925837104,1
186.95,1629648334948,3
20.43,1631993146887,1
62.51,1629294476286,2
227.01,1622371382467,1
67.84,1631812107209,1
5.83,1630451212233,3
62.98,1620721788618,2
106.34,1624408693990,3
41.0,1625965666830,2
63.39,1624031442899,1
70.26,1630482933051,1
9.54,1629453850904,1
53.52,1627301631420,2
31.23,1630195080860,2
11.99,1626084781563,3
3.16,1626607665751,3
76.61,1627448883210,1
12.69,1628905058616,1
0.89,1621602774072,2
11.7,1624038153906,3
12.61,1630585682012,1
108.8,1632409117501,1
118.88,1631045091229,1
88.24,1631825234605,1
75.07,1626278131743,1
17.24,1625917315569,2
145.87,1626799612220,1
44.91,1631632651132,2
98.88,1627022013586,2
20.94,1620890548485,1
74.36,1631119404486,2
105.62,1626857279640,1
92.73,1625050703065,2
59.94,1631763759955,2
59.18,1632438138155,3
170.59,1629762288562,2
69.45,1625865928852,1
149.61,1632679165257,3
58.38,1624434171030,2
118.0,1622892135226,1
39.91,1633588898235,3
142.32,1624242435689,2
47.85,1620033697577,1
19.12,1620960357951,2
1.0,1630311774225,1
69.79,1628288872133,3
50.31,1628664360336,3
100.5,1624884355795,1
20.51,1630575625592,2
223.33,1632408934676,2
57.92,1633665111446,1
63.94,1621776154143,2
99.51,1631447618409,2
97.42,1627725731396,3
42.24,1624719717817,3
142.76,1619938230028,1
164.75,1632879244533,1
54.26,1620661413955,3
107.02,1632361005797,2
168.26,1629927020955,1
86.92,1632109950047,3
71.1,1626202854216,3
107.65,1620615198979,1
58.42,1620724339352,3
91.33,1623459051290,2
159.8,1631604364650,3
148.31,1630145783219,1
141.57,1622842660766,1
104.96,1623023932724,1
203.21,1623419599267,3
0.53,1630592190574,2
159.26,1628021464721,2
90.53,1628821935064,3
206.52,1620625632140,1
45.26,1623535293285,3
86.76,1621694069479,3
152.6,1632574169647,1
73.95,1633692607973,2
201.37,1625927387662,1
171.03,1620516297458,2
12.36,1623694892109,3
16.53,1620251036850,1
164.01,1624653938011,2
49.71,1621909296193,3
31.77,1631686511716,2
40.11,1627435116530,1
191.79,1624078771180,1
29.63,1632447462386,1
2.92,1628738789926,3
178.01,1621842555857,3
41.85,1630467397840,2
35.32,1622370447251,3
106.09,1624648869237,1
76.94,1631787037293,3
65.69,1628040880277,3
117.19,1622517123085,3
32.94,1632118773096,2
52.11,1622905476490,1
23.45,1620572768146,1
81.3,1631572370984,1
29.57,1624182179883,1
23.78,1627869652694,1
201.5,1632976614316,1
112.2,1626768785123,3
38.68,1625868556185,2
241.07,1621731440905,1
61.08,1623933565983,2
70.25,1620074685112,3
31.3,1623060376429,2
15.0,1619920824831,3
122.94,1621548168545,3
47.8,1621009650600,2
77.46,1627641540309,2
24.14,1628393998029,2
179.63,1623489914765,1
18.68,1627581499463,3
122.84,1622724264018,2
21.18,1623131253225,3
99.13,1624292935433,2
84.8,1629848318773,1
108.3,1627471407847,2
173.4,1625435101481,2
52.81,1631063874729,2
58.11,1622030891769,1
224.95,1622810016233,1
172.93,1622366791943,3
115.53,1625108352690,2
17.4,1620830837932,3
51.7,1631023281959,2
21.63,1632950739329,3
20.86,1622641604543,3
167.4,1628337539682,1
134.1,1625842215573,3
47.91,1623547348995,3
97.57,1631583662408,2
6.2,1630196038430,1
106.46,1622026199618,3
75.49,1632561280243,3
74.86,1622516426018,2
13.02,1623139747897,3
38.78,1629697808239,1
69.31,1627705225389,1
16.29,1623828683334,3
249.41,1620046060643,1
83.27,1622849531628,2
65.14,1622210156978,2
143.04,1625611696468,3
91.8,1620044923733,3
21.41,1623732357695,3
124.2,1623976280838,3
100.8,1633286135458,3
36.72,1628540772123,3
101.65,1632191103806,1
7.35,1619841572284,3
10.83,1620283927379,1
109.33,1633070384064,3
100.1,1631425532177,3
143.53,1623566916486,3
136.41,1626178895635,2
122.71,1630096877838,3
14.58,1632324307521,2
187.44,1626814537076,1
90.11,1627907211158,2
112.52,1626043548414,1
28.62,1620502712117,3
52.95,1630415349950,1
62.1,1625828186563,2
178.58,1627935140792,1
8.67,1630208416842,2
62.45,1621590159167,2
75.86,1627763074298,2
74.68,1620861334763,1
163.62,1624736234416,2
49.96,1622237555716,2
163.88,1625673423453,1
99.69,1621777653335,2
100.07,1624860197737,1
28.76,1620643401365,3
37.68,1621052834841,3
73.13,1628759837659,3
118.73,1631742757124,1
55.96,1633318626094,1
5.49,1633864708484,3
148.28,1632040522717,2
127.47,1630283421070,3
84.02,1629052186894,3
48.3,1621259178621,2
187.92,1624284450078,2
107.52,1630485789903,3
46.31,1622557498139,2
95.11,1622488159394,1
109.38,1623874579596,3
155.98,1624931125755,3
20.01,1622207698211,2
85.39,1624996605769,1
186.81,1624717673336,2
104.04,1627997456859,1
88.42,1622723042824,2
81.59,1625163565345,3
58.06,1622936631645,3
188.19,1624505860677,1
150.46,1631342286391,1
78.49,1633116483742,2
44.53,1624805167096,2
218.55,1624635148994,2
32.17,1632030941533,3
111.89,1626594529110,3
64.25,1631800905703,3
36.71,1627340743899,2
148.92,1623382845771,3
70.95,1631569750715,1
20.74,1624043650920,1
14.51,1633631206346,1
106.68,1621576444329,1
12.07,1632441270762,2
41.77,1632136390041,3
25.51,1629811566583,2
23.57,1630418622045,1
69.07,1625753321465,2
9.9,1631989309574,3
91.38,1629975195260,2
191.26,1624011021177,3
0.71,1632883751237,3
151.22,1632207474546,1
77.32,1623526737912,3
75.57,1633739569001,3
119.96,1621768001573,3
6.69,1629968133911,2
16.75,1623772753842,1
97.9,1621253277816,3
62.25,1631341793507,1
235.2,1623661679139,3
71.75,1620698397144,3
181.33,1624028142253,3
64.41,1633082942152,1
29.58,1631611471154,2
89.55,1632794134812,3
87.5,1633371862813,2
112.55,1624500984990,2
29.74,1633199653064,2
138.81,1630929974747,2
209.04,1631926587273,3
1.17,1624342604478,3
76.94,1625998587474,3
78.42,1630581279953,3
26.13,1626529633088,3
10.81,1627199112279,1
60.36,1629048646270,3
47.69,1621511354340,2
91.9,1627022031712,2
94.99,1620401187276,2
61.14,1626012727898,1
132.96,1625081064557,1
93.89,1622978939118,2
22.1,1622595265067,2
85.8,1627751108051,3
181.59,1631943335702,2
58.46,1624794038698,1
52.01,1630644110985,2
174.83,1632580018926,2
67.56,1627828672638,3
80.34,1625875672396,3
176.21,1622484575491,3
65.66,1629019527585,3
5.36,1623306593959,3
138.66,1626936131473,2
35.27,1626940340029,3
158.63,1632515719711,2
200.2,1624912690087,3
188.6,1623166248962,2
50.88,1626275567711,1
67.69,1626664087640,2
163.83,1625291640229,3
81.59,1632509241564,2
188.67,1623300015466,1
117.34,1622679808970,2
118.37,1625191814951,2
109.71,1625322264113,3
120.42,1620471015624,3
187.42,1621180451519,2
142.94,1628207829746,3
0.2,1625642258874,1
54.9,1621125541162,2
94.47,1631089879609,3
116.27,1633824712745,3
13.35,1629547590792,3
71.95,1632580404346,1
198.37,1630959864073,2
173.55,1633921073587,2
3.77,1628189528223,2
7.11,1628521868367,3
57.2,1632289595862,1
11.15,1632840474721,1
147.43,1632143556830,2
177.31,1630128076109,1
14.18,1632242921601,2
193.91,1624578409488,3
42.69,1627116519861,2
46.23,1622316671260,2
85.17,1621420762262,1
103.42,1631068942508,1
30.72,1626117459740,3
8.99,1624806964688,3
96.91,1631358166933,2
37.63,1624450393657,2
155.04,1621976271151,2
91.57,1628331486299,3
59.19,1626701974369,3
83.58,1625199302601,3
108.62,1631235741905,1
226.64,1623726792015,3
3.97,1625955680093,2
18.04,1620944346727,1
75.63,1626521555191,2
74.49,1631608519539,3
142.45,1625536918832,3
63.32,1626118924730,3
98.42,1620713956696,3
20.61,1628635727497,2
77.23,1628856193125,1
122.12,1619907362161,1
92.39,1628842964985,3
132.91,1619845587814,2
10.91,1625954864304,2
52.79,1624136705195,1
84.7,1633665274933,1
83.02,1627773662442,1
149.83,1621510452131,1
133.07,1625045136169,2
68.14,1621179824001,2
20.38,1625506853018,3
29.52,1626265505689,1
259.25,1620417829303,3
195.98,1625592256680,1
87.35,1619925641138,1
14.74,1631424985288,1
35.86,1621620174233,1
19.45,1631154942526,1
146.66,1621765394142,1
80.92,1628528788430,1
51.17,1627683497165,2
50.14,1622307610800,3
133.07,1624333851178,1
102.01,1624307457469,3
136.49,1626198698571,3
8.68,1625213025067,2
136.44,1625191313166,3
49.04,1624396458568,1
103.18,1630143119695,3
75.82,1621035841424,2
166.7,1627012697334,1
123.07,1629134389832,3
51.02,1627187174073,3
99.56,1632851345223,1
133.32,1631548118943,3
4.55,1632993193214,3
40.98,1630712625608,1
26.63,1625285813555,1
285.55,1632598421809,2
130.66,1629982081734,3
100.16,1624037609447,3
108.98,1620075258564,1
20.53,1632811649585,3
128.85,1626447594062,2
12.26,1631281043360,1
1.8,1632020218171,2
48.53,1626181374383,2
15.76,1626869409801,2
78.26,1627527030587,2
212.38,1633263138811,3
96.78,1626329878785,2
224.13,1622759516275,1
17.45,1621101818600,2
101.36,1632386688530,2
32.3,1633077220941,3
150.95,1625042713923,1
104.03,1621238919139,3
84.37,1628984439549,3
51.23,1623115203658,1
62.12,1632812557346,1
234.32,1628604692969,1
76.24,1633131350182,3
26.76,1633626963862,1
17.51,1629422075215,2
35.66,1627523278296,2
127.72,1631973649944,3
100.12,1633797968167,2
287.17,1629042924327,1
66.75,1621760921552,3
85.66,1632920830837,1
80.48,1631343276976,2
139.84,1622769434893,1
66.35,1633541943923,2
78.44,1621786675169,2
153.05,1624658816726,1
67.41,1623360255813,1
2.98,1629622271784,1
91.81,1624586258938,3
134.54,1633625252714,3
320.17,1627594787730,1
8.33,1623631605567,3
145.7,1633782028534,3
24.15,1624399266286,3
176.46,1633166928828,2
115.33,1625402570692,3
199.37,1633100431347,2
9.99,1622642441415,1
53.67,1625082054674,3
101.83,1622663685296,3
131.6,1628699972437,2
198.02,1621557514202,1
195.62,1630026714736,2
45.27,1627610599355,2
20.0,1621378945472,1
57.6,1631812071217,1
39.7,1623544553735,3
100.65,1632027243343,1
163.87,1624202042127,2
70.56,1630586492254,1
86.46,1621082870626,1
68.08,1620737394930,2
56.89,1624465389253,2
21.17,1622837986249,3
0.9,1620307811383,2
53.18,1630251149114,2
71.7,1623615642354,3
175.58,1622946099371,1
102.02,1623903370599,3
117.62,1629303516344,1
41.56,1624684137724,3
33.33,1623355497933,2
63.74,1629664598931,2
39.1,1622721587363,1
17.49,1624168392627,3
72.76,1624367464365,2
198.61,1629345150691,2
209.53,1631196203562,2
234.56,1621919567177,3
92.78,1633112930006,2
158.17,1630951157292,1
144.79,1625421569248,1
48.91,1633138648084,1
168.77,1631126190851,2
65.61,1629942127367,2
81.1,1628444197956,1
17.91,1631830271697,1
155.27,1621802444134,3
73.14,1623047288094,1
225.48,1622938657376,1
107.16,1623316405082,2
164.72,1625040988945,2
165.84,1624704034109,2
73.62,1629128116119,3
6.77,1625131429487,2
66.61,1620691960915,2
0.36,1629662111302,2
148.26,1622545542799,1
92.65,1632239506340,1
92.03,1622069049668,1
48.27,1626263445718,1
10.8,1620781457948,2
117.94,1621825569641,2
27.57,1623778241623,1
94.64,1628997461674,1
91.73,1633006511593,3
0.89,1624257032556,1
40.84,1630019084872,3
5.84,1630482272123,3
3.12,1627675340411,2
162.38,1629867431940,1
88.61,1626434310127,2
154.57,1630988110446,2
99.65,1632508512301,2
19.56,1621954810225,1
46.22,1622484348498,2
95.27,1625022565553,3
249.79,1631032170128,2
89.5,1620997501615,1
14.2,1629918424980,1
74.02,1630107654255,3
174.3,1621585766215,3
18.66,1621902891229,3
49.5,1629377867664,2
68.97,1623048159483,2
91.57,1628939211213,1
294.83,1626080340984,3
129.42,1632456711718,1
104.81,1628901758457,1
114.1,1622991454695,3
97.31,1622951671454,2
67.79,1621951506633,2
135.16,1631965650025,1
1.48,1622260793780,1
202.38,1623122415242,3
55.1,1633417887872,3
87.52,1633200213555,2
141.24,1622558060628,2
64.12,1624579957314,3
77.27,1626660142385,2
3.39,1619950263816,2
63.86,1623568064258,2
31.71,1626568049669,2
115.68,1625391198593,1
52.31,1622356062438,2
42.43,1622388199343,3
36.99,1619926687298,3
121.41,1622622323272,2
57.38,1627003231737,2
97.95,1629264056146,2
39.09,1631175730272,3
66.56,1623451783045,2
88.12,1629875996804,3
21.35,1624913453475,2
44.24,1630865716835,3
161.88,1624277475404,1
51.57,1631262347369,3
109.36,1628989416649,2
6.98,1628553257303,3
0.55,1623081746283,3
92.85,1624698347366,3
38.33,1624314917161,2
137.81,1626480004913,1
164.27,1625907870129,1
38.2,1620409208537,2
135.11,1633251311255,3
218.53,1632050694748,2
84.74,1631500820558,3
9.0,1627834797372,2
116.86,1620163899576,2
56.22,1633012103886,1
29.82,1633507725444,1
72.66,1623708603898,2
91.89,1628825792898,3
0.53,1630160515387,2
85.71,1626036045464,3
129.39,1621586835586,3
3.72,1620824019503,2
70.26,1633300857213,1
22.47,1622281175619,1
45.53,1628028646095,1
176.2,1631230511346,3
136.91,1626149363582,1
107.35,1620480616781,2
96.54,1631094334353,1
91.96,1629183828504,2
81.06,1621574135600,3
28.99,1623600740346,3
23.72,1629191483402,2
171.99,1625807870013,1
8.54,1624687336277,3
3.93,1624968722080,1
50.29,1626908369373,2
80.65,1627249217238,2
30.62,1625140129562,2
11.4,1630774327457,2
70.38,1627682805960,1
90.43,1633272974808,1
11.96,1631406953520,2
36.19,1630824752039,3
53.74,1627319428331,2
125.38,1633119843323,1
68.5,1620390983345,3
2.61,1620912973308,3
132.77,1624011172741,3
2.83,1631984020909,2
32.4,1627518996704,2
22.48,1632925175225,2
94.45,1630012379595,2
175.08,1625033681649,1
29.65,1631900616025,3
65.75,1624877318645,2
46.48,1624580654693,2
49.23,1620016859977,2
128.42,1631975964003,1
1.06,1624387066475,3
10.11,1622185650418,3
130.29,1627263361559,3
102.21,1629218025853,1
33.38,1628007019781,1
145.14,1630750030725,3
106.48,1632518769636,1
98.02,1622580020061,1
127.51,1630110801525,2
7.39,1633276428186,1
68.7,1633911329098,1
71.86,1630138420763,1
32.8,1623274846697,1
43.63,1626538692437,2
64.82,1628950535366,3
0.48,1632593689857,3
103.1,1630859884551,1
144.29,1627217466929,3
152.28,1620547484922,2
190.19,1625714713508,2
128.78,1623695749400,3
12.58,1621164398540,2
86.03,1628874562063,1
88.9,1624035733793,2
1.09,1623857390667,3
69.09,1632474632733,2
89.83,1623929326875,2
116.78,1622644731431,3
9.36,1619855523951,1
80.42,1624305841853,1
65.33,1620615501384,3
100.25,1632878466831,3
69.39,1632034605975,1
145.76,1633708538275,1
74.4,1625847669659,2
166.04,1630959239102,3
39.19,1623160544785,1
18.68,1632220385334,3
21.99,1623234555062,3
9.04,1621913345082,3
131.91,1622051431646,3
53.26,1631806379814,1
10.14,1633712741149,3
22.9,1624922557370,2
174.99,1628398020973,1
52.25,1625985200802,1
0.5,1622276432189,3
100.16,1622575543269,2
102.19,1632817936237,3
49.73,1631456500688,1
8.5,1632511165603,2
10.16,1622600178082,1
119.15,1623901597936,1
156.91,1622723175029,3
72.09,1619997891519,3
171.72,1623490080958,3
10.29,1633507779645,3
81.63,1631380885637,1
26.89,1620525003963,1
9.93,1633767745589,3
107.4,1631955735897,1
27.47,1628711689543,3
181.17,1624438597027,3
191.49,1629892779013,3
102.22,1633400059089,3
86.65,1623328501295,3
18.51,1633138620310,3
118.61,1624818339040,3
128.96,1624183558022,2
18.3,1621494712581,2
27.03,1633811648359,2
174.01,1631520157075,3
95.98,1633004173842,2
111.46,1624641851729,1
104.76,1632400576423,1
112.6,1621254699993,2
199.5,1629802410726,3
65.66,1621523175403,2
84.62,1622780897042,2
18.79,1622652935159,3
117.76,1632250752434,2
187.28,1631128282159,1
158.87,1625499305710,3
153.3,1621503209646,2
75.72,1621686459732,1
123.78,1630653319900,1
93.71,1631271114300,2
9.12,1624660670625,2
52.37,1626778105144,1
79.86,1631249224216,2
102.94,1631096899495,1
11.63,1626590248556,1
103.34,1624624593054,3
16.27,1620668678891,2
62.03,1625697406746,1
64.06,1624869609075,1
141.15,1629009152652,3
44.75,1629020235460,2
15.17,1625243977800,1
73.26,1623371544571,1
113.02,1629892061789,2
135.74,1622022684935,1
99.51,1620190746161,3
124.67,1620895878689,2
88.1,1630948272482,1
235.42,1623510756996,3
71.89,1627943575709,1
138.7,1633260161363,3
28.68,1623711273898,2
252.2,1620515493125,2
182.69,1621397430313,2
15.87,1626401564734,3
62.16,1631144630596,3
51.57,1633165478402,3
10.44,1622644421418,1
81.42,1619995962002,1
122.8,1623192680806,2
11.38,1633072630476,3
218.48,1628482464496,3
45.75,1626513409330,2
116.5,1621553275459,2
68.47,1620017497119,1
170.76,1632047552171,3
204.99,1630714903071,2
58.5,1631931184985,3
37.58,1632141423120,2
146.91,1632522954423,1
123.55,1633696707297,2
101.29,1624933152105,3
103.93,1627197267468,3
143.86,1629552752737,1
63.08,1626352876870,2
79.02,1627990681476,1
64.94,1624408739086,1
106.8,1626830157615,1
106.85,1631703150255,2
38.84,1630190054075,1
10.03,1633356449462,1
29.13,1622729092879,3
227.9,1622903528332,2
9.81,1620056338779,1
208.34,1626668041757,1
258.55,1628140003747,2
68.52,1628963151855,2
2.66,1625933892035,3
41.13,1624617653524,1
40.16,1623896813361,3
81.69,1621706751169,3
346.39,1621564718266,2
88.33,1632631868761,3
165.13,1630368092224,3
46.76,1633075984025,2
107.98,1625423200434,2
53.16,1623973829781,2
144.79,1619978903467,1
151.32,1633336275728,2
103.06,1621960048270,2
35.68,1633484252709,3
64.98,1631763199599,2
80.67,1627594081012,2
6.15,1625772913342,2
82.01,1624294161665,2
115.27,1629225373143,2
96.39,1627124743829,1
154.61,1621351016111,2
56.93,1622716728714,2
73.09,1620073671023,2
72.71,1623829549459,3
107.92,1621733755806,1
93.59,1626454571310,1
162.74,1632332122149,3
6.55,1624516010954,2
43.26,1627705194427,2
288.55,1627980416819,2
54.13,1628984859645,3
117.04,1630913631301,1
165.95,1619967405141,2
64.31,1633044488942,2
213.83,1633837354842,3
158.09,1622101649432,2
6.13,1631733830503,1
169.94,1628925744965,2
54.1,1623117667176,2
204.28,1628236753988,2
96.38,1622963061619,1
6.74,1633696409795,1
179.85,1632220777210,1
43.35,1632455699904,2
30.13,1627992888498,2
63.55,1624040942402,1
146.13,1620914833062,1
109.71,1625294823575,2
210.75,1627179987542,2
6.75,1629018314666,1
96.28,1620790451343,3
34.56,1620407215772,3
5.92,1630535695152,2
67.56,1628868331433,2
26.18,1633342627094,1
33.31,1633503804452,1
200.93,1620166647382,1
92.52,1625397991846,3
136.51,1626199585318,3
142.85,1628557692551,1
18.81,1626386379532,3
57.24,1624101607209,1
0.85,1627733747186,3
15.73,1631334290944,3
256.31,1622493243087,2
116.54,1622746858773,3
10.62,1631746340220,1
95.63,1633006401018,2
54.56,1631759368179,2
176.51,1626920328700,3
99.38,1633318673568,1
101.75,1623710222601,2
225.14,1632661641239,2
100.33,1633251803518,2
3.76,1633043067334,1
81.39,1624638350798,2
132.23,1632569001133,1
10.15,1631896823759,3
145.28,1628091017982,1
95.69,1628511091628,1
9.65,1632353912474,3
40.41,1631368515541,3
57.0,1626900224193,3
151.82,1628866747926,2
108.19,1624027088779,2
12.72,1623690555078,1
143.41,1620967110089,1
13.56,1625915643840,1
102.3,1622954644942,2
135.86,1633683281693,1
9.22,1622805038691,3
69.93,1622569353988,3
13.06,1626885727976,1
32.77,1621921873545,2
137.05,1630452231444,2
118.79,1625996517040,2
84.95,1632189797042,1
83.92,1623333853743,2
88.24,1626347545422,2
138.78,1625245872900,1
87.24,1633433340122,3
49.88,1625439714318,3
5.41,1632746352038,2
88.11,1629035370985,3
194.56,1632912371430,1
121.68,1620496989251,3
62.07,1620606482454,3
146.29,1625393254217,2
17.52,1623257599135,1
41.72,1622497151001,1
67.82,1629580265917,3
223.84,1621344243853,1
9.34,1627398133558,3
169.26,1630804808099,1
20.23,1632035919588,2
144.58,1621474227108,2
120.6,1629606662134,2
43.13,1626312519089,2
38.43,1628942687342,3
24.2,1620075001139,3
34.84,1632785351120,2
164.53,1630883317766,3
21.08,1620736022920,2
78.49,1630971280832,3
115.6,1631994308519,1
32.54,1630186347076,3
100.06,1620331447026,3
137.88,1622307121340,1
55.88,1622448615976,3
70.14,1627330482716,1
35.31,1632051283719,2
63.73,1633784492931,2
11.5,1630607839376,1
77.35,1626034333017,2
110.8,1633568671750,3
44.78,1628031981653,3
110.71,1630559862511,3
76.69,1625350970901,1
27.28,1633883797224,2
131.14,1627793059872,3
50.37,1623040106502,1
61.4,1632407549313,2
55.74,1622976269205,1
182.22,1628783832778,1
26.9,1632114914186,3
32.37,1630998848847,3
150.44,1621396171594,3
97.06,1631827428173,2
0.82,1632970594343,1
63.16,1627300130132,3
27.85,1628703186096,1
160.8,1626267380830,3
23.4,1623080429818,3
8.25,1627438082611,2
112.79,1631667590791,3
59.46,1629091908979,2
205.09,1632749119153,3
115.99,1624237638756,2
5.74,1624090529003,1
63.6,1622799299590,2
42.71,1625498349233,3
134.75,1627611892105,3
60.85,1625946267390,2
153.67,1631169039496,1
36.73,1628887662266,1
13.81,1620084491673,2
0.66,1623409330510,2
53.17,1628564804771,2
47.72,1621049955663,1
166.32,1627451714894,1
88.9,1627309013879,3
12.54,1620959497455,2
43.02,1625038799931,1
58.65,1627475952318,3
155.59,1624702150206,1
225.85,1626064172839,3
75.24,1628347022923,2
10.98,1632608920375,2
248.77,1632882746778,1
32.07,1632885453985,1
220.25,1628501621916,1
226.06,1632548103404,3
185.29,1622615159380,1
73.68,1623576833699,1
103.25,1621578505639,3
54.06,1631640615749,3
4.6,1633834651118,3
9.04,1624398298951,1
15.02,1627048216321,3
74.78,1629829840704,2
103.03,1630736612644,1
27.99,1620991042480,3
16.07,1626399645227,2
0.87,1625760586266,3
51.57,1621775412688,3
82.48,1625142478207,1
161.75,1632072407526,1
60.85,1630573186135,3
139.64,1633646803292,1
73.61,1621719151663,2
110.41,1628514959369,1
259.98,1620693470487,2
230.54,1627842734569,1
69.04,1621624027292,2
0.87,1631217086531,3
35.15,1629794709119,1
